Cas;Celkovy_Vykon_Panelu_W;Aktualni_import/export_W;Aktualni_AC_Vystup_W;Vykon_Baterie_W;Baterie_SOC_%;Cena_CZK_kWh;Predpoved_FS_kWh;Doporucena_Akce;Akce_PuLP;Duvod_PuLP;AC_vyroba_Dnes_kWh;Skutecny_AC_Vystup_kWh;Skutecna_Spotreba_kWh;Cista_Vyroba_Panelu_kWh;Spotreba_Celkem_kWh;Import_5min_kWh;Export_5min_kWh;Denni_Import_kWh;Denni_Export_kWh;Export_Celkem_kWh;Aktualni_Tok_Sit_W
2026-04-04 00:05:09;0,0;0,0;163,0;-142,0;46,0;0,0;0,0;UCENI_V_PRUBEHU;POKRYT_Z_BATERIE;Vyhnuti se nakupu energie ze site za cenu 0.00 Kc.;0,0;0,0;0,0;0,0;10607,77;0,0;0,0;0,0;0,0;11980,3;
2026-04-04 00:05:31;0,0;0,0;163,0;-142,0;46,0;0,0;0,0;UCENI_V_PRUBEHU;POKRYT_Z_BATERIE;Vyhnuti se nakupu energie ze site za cenu 0.00 Kc.;0,0;0,0;0,0;0,0;10607,77;0,0;0,0;0,0;0,0;11980,3;
2026-04-04 00:10:38;0,0;0,0;284,0;-260,0;45,0;0,0;0,0;UCENI_V_PRUBEHU;POKRYT_Z_BATERIE;Vyhnuti se nakupu energie ze site za cenu 0.00 Kc.;0,0;0,0;0,0;0,0;10607,77;0,0;0,0;0,0;0,0;11980,3;
2026-04-04 00:12:07;0,0;284,0;-260,0;45,0;4,01;0,0;UCENI_V_PRUBEHU;POKRYT_Z_BATERIE;Vyhnuti se nakupu energie ze site za cenu 4.01 Kc.;0,0;0,0;0,0;0,0;10607,77;0,0;0,0;0,0;0,0;11980,3;0,0;
2026-04-04 00:15:36;0,0;0,0;185,0;-165,0;45,0;1,8;0,0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.80 Kc).;0,0;0,0;0,0;0,0;10607,77;0,0;0,01;0,0;0,01;11980,31;
2026-04-04 00:20:36;0,0;0,0;198,0;-189,0;45,0;1,8;0.0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.80 Kc).;0,1;0,1;0,0;0,0;10607,77;0,0;0,0;0,0;0,01;11980,31;
2026-04-04 00:22:52;0,0;0,0;117,0;-94,0;45,0;1,8;0.0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.80 Kc).;0,1;0,0;0,0;0,0;10607,77;0,0;0,0;0,0;0,01;11980,31;
2026-04-04 00:25:28;0,0;0,0;117,0;-94,0;45,0;1,8;0.0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.80 Kc).;0,1;0,0;0,0;0,0;10607,77;0,0;0,0;0,0;0,01;11980,31;
2026-04-04 00:30:46;0,0;-65,0;0,0;0,0;45,0;1,66;0.0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.66 Kc).;0,1;0,0;0,0;0,0;10607,77;0,0057;0,0;0,01;0,01;11980,31;
2026-04-04 00:35:33;0,0;-65,0;0,0;0,0;45,0;1,66;0.0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.66 Kc).;0,1;0,0;0,01;0,0;10607,78;0,0052;0,0;0,01;0,01;11980,31;
2026-04-04 00:40:39;0,0;-131,0;0,0;0,0;45,0;1,66;0.0;UCENI_V_PRUBEHU;NABIJET_ZE_SITE;Priprava na budouci spicku (nakup za aktualni cenu 1.66 Kc).;0,1;0,0;0,0;0,0;10607,78;0,0111;0,0;0,02;0,01;11980,31;
